id,release_date,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,age,genre,topic
0,2014,0.001048759,0.000254496,0.07805732,0.282522677,0,0.000654075,1.109898658,3.484934672,0.3605153,0.016644315,0,0.001343349,0.000101785,0.000814452,0.022434881,0.001021196,0.673433301,0.753102384,0.002559985,0.001046413,0.040566914,48.36426486,0.085714286,4,2
10,1986,0.999288839,0.999318424,0.999366325,1,0.999479694,0.999368793,10,9.994875182,9.993064626,9.982888821,1,0.999836569,1,0.999521136,0.997630844,0.99899622,0.998955392,1,1,1,1,100,0.53030896,5,2
17,2002,0.000800976,0.000122102,0,0,0.000699276,0.002979432,1.089503656,1.172284358,0.00182482,2.27165814,0.002023309,0,0.000288636,0.000971582,0.357303835,0.041764624,0.753816064,0.597117683,0.489609955,0,0.818349192,36.45120602,0.257142857,0,5
19,1979,0.050272228,0,0,0.018817717,0.002004871,0,0.215193912,0.004772441,0,0.008836459,0.001971924,0.130651314,0,0.060981042,0.379588967,0.013456218,0.195336071,0.802180277,0.007767622,0.019572908,0.372391472,86.23142319,0.585714286,6,5
22,1992,0.002325122,0.001777436,0.040453476,0.001135221,0.000795828,0.001462883,0.240941797,2.397803519,1.797508335,0.034347134,0.00104188,0.001910704,0.001320803,0.033590912,0.348374728,0.076038331,0.576054523,0.769743388,0.212438795,0,0.586009461,82.58954802,0.4,4,5
24,1971,0.170933583,0.002254714,0.005506636,0.227042316,0.001683445,0.000559424,0.043907757,0.052555716,0.022141997,4.07243588,0.003277429,0.116210361,0.003085665,0.001554752,0.001635412,0.001776659,0.509581148,0.568122054,0.982699319,0.058311465,0.30889364,11.82069036,0.7,1,1
25,1981,0.021053097,0.003252755,0.120581072,0.158905894,0.155399102,0.002333927,0.026193594,0.032014672,0.01400451,0.042149955,0.00173336,0.109121222,0.00157679,0.002317433,0.285732123,0.001240681,0.426557682,0.769319431,0,0.000757986,0.624774597,90.39983261,0.557142857,6,5
30,1978,0.000976126,0.436977598,0.002282901,8.85E-05,0,0.001978986,0.007710374,3.863001851,0.008290673,0.020890853,0.001101615,0.004875388,0.073173488,0.00309389,0.091825904,0.001249752,0.557399548,0.698674098,0.446684057,9.49E-05,0.696715888,62.0966433,0.6,4,6
35,2015,0.000138564,0.003303462,0.000421629,0.042578977,0.014482627,0.000333158,0.017783639,0.745872455,7.323050555,0.013592631,0.000369672,0.02761968,0.000695233,4.86E-06,0,0.018698569,0.805409413,0.798462652,0.045505829,0.001304604,0.338134258,80.72886633,0.071428571,4,3
38,2017,0,0,0,0,0.000148679,0.002834597,0.01639426,0.001130179,0.003573601,0,0.00094299,0.002038509,0,0.000445464,0.002126816,0.001049167,0.00116499,0.001241713,0.000513931,0.001223369,0,0,0.869422679,4,4
39,1991,0.028173585,0.301028806,0.003471005,0.03039438,0.019580521,0,0.003628833,1.209880692,0.901389298,0,0,0,0.019277141,0.00126202,0.315943175,0.020801661,0.306958928,0.702714209,0.069599491,0.00046249,0.526147511,59.65372369,0.414285714,0,5
40,1966,0.085473466,0.000775406,0.283381723,0.484796068,0.007770214,0.015819534,0.175323967,0.002268953,0.01089314,0.26153838,0.002412452,0.02995667,0,0.000611016,0.017855912,0,0.428620072,0.680618231,0.019031573,0.463170247,0.276913542,64.86764276,0.771428571,6,2
41,1982,0.045369326,0.002467343,0.002754831,0.000500774,0.439833283,0,0,0.003457424,3.309831838,0.042248562,0.002264895,0.070502813,0.00129905,0,0.002565171,0.002457651,0.596261273,0.577939104,0.770776896,0,0.321513651,37.84523257,0.542857143,3,3
48,1977,0.002575015,0.063962806,0.002216013,0.002390633,0.020221358,0.000193254,0.019193704,2.358397623,0.016925556,0.004578126,0,0.00339425,0.001511691,0.000348942,0.655753262,0,0.630861616,0.730536226,0.01449737,0,0.744716272,50.14355694,0.614285714,5,5
52,1967,0.001011036,0.002652166,0.255793325,0.000483372,0.001809512,0.002568822,0.347014362,1.343706963,0.002511135,0.684274835,0.000529918,0.00174169,0.028302308,0,0.459569291,0.00126766,0.43958402,0.734058884,0.520899987,0,0.686798691,47.95034647,0.757142857,1,5
55,1976,0,0.001134739,0.001408071,0.214456156,0.002225156,0.003981876,0,0.011672661,0.017415977,3.611051205,0.06278006,0.0024124,0.059594224,0,0.124736073,0.001262049,0.597781056,0.687190396,0.253418408,0.002515356,0.618260206,72.09207395,0.628571429,4,1
61,2003,0.000740014,0.147871815,0,0.000380767,0.001065108,0.003014593,0.844424847,4.001564774,0.447866221,3.246456848,0,0.000705644,0.001024851,0.001435878,0.000817252,0.000508868,0.630012505,0.663549812,0.147715673,0.000862217,0.504975008,60.70045996,0.242857143,4,1
65,1999,0.000944434,0.111405071,0.001687451,0.160802864,0,0.041900094,0.3949023,0.009081513,0.002760018,0,0,0,0.002061018,0.028421303,0.295778794,0.000840966,0.484177476,0.778856552,0.040635316,0.889297298,0.783177927,69.77231296,0.3,0,5
71,1957,0.001623221,0.079719619,0.495100904,0,0.001501029,0.000740538,0.001062887,1.917944902,0.018456511,0.020694347,0.001363349,0.106316495,0.000826344,0.001376324,0.061977445,0.053841101,0.104351309,0.675692052,0.786184157,0,0.154705774,37.8767553,0.9,4,7
73,1975,0.004038603,0.004212396,0.004879772,0.003223228,0.001735528,0.002071903,1.471561036,0.015727483,0.02104465,0.017532937,0.00355327,0.000940074,0.001481858,0.002196757,0.781554372,0.002136246,0.49978518,0.604661376,0.865761707,0.019544401,0.227474772,29.18736459,0.642857143,1,5
79,1963,0.056653469,0.001675599,0.002211242,0.002643639,0.000398358,0.004907672,0.015235197,3.933518281,0.4686068,0,0.002823359,0.000674544,0.047082332,0.001151211,0.303017411,0.003471154,0.47369524,0.783800933,0.548073422,8.78E-05,0.809551363,70.28258417,0.814285714,4,5
80,2013,0.012849236,0.249605027,0.054307835,0,0.001699958,0.067056105,0.013433546,0,4.731198725,0.230338974,0.001342819,0.026428141,0.010937326,0.056863886,0.002298736,0,0.641258921,0.641230504,0.604485832,0.003443806,0.493447803,49.44070654,0.1,4,3
86,1998,0.001223891,0.060032966,0.096146036,0.049920077,0.036186127,0.087421761,0.002210386,0.803758836,0.009347694,0.011340383,0,0.063512728,0,0.038249934,0.346680675,0.109324772,0.565795792,0.788865535,0.073364537,0.000781181,0.586022986,88.22832806,0.314285714,4,5
89,1982,0.003548032,0.354096402,0.234421683,0.02944071,0.003106841,0.002757237,0,0.015435778,0.009000735,0.036341504,0.001442351,0.001351045,0,0.003291688,0.312070042,0.002352424,0.778371322,0.26441073,0.10462271,0.727198754,0.589637638,7.293399912,0.542857143,5,6
90,1997,0,0.077233579,0,0,0.000671127,0.001705234,0.006157391,1.334929342,5.610588907,0.008590746,0.169040356,0.001400053,0,0.000535768,0.001569634,0.013919694,0.720966953,0.826432861,0.00952527,0,0.418642318,71.82908836,0.328571429,6,3
96,1984,0,0.000182491,0,0.21583839,0.000764317,0.004186545,0.001000337,0.713774674,0,0.004789157,0,0,0.000914151,0.001615414,0.506243874,0.001092845,0.579862181,0.660314149,0.017753065,0.000108287,0.604971641,57.80402779,0.514285714,1,5
97,1973,0.001056913,0.382663633,0,0,0.01702471,0.001834093,0.001745326,0.019021151,3.726100407,0.012879415,0.001103572,0.001875031,0.019726717,0.107634048,0,0,0.46548431,0.648962496,0.285352524,0.002028811,0.81429882,52.84902285,0.671428571,0,3
101,1968,0.000704124,0.000980811,0.002619917,0.001685595,0.001109366,0.001824483,4.631645487,4.899160555,0.020976568,0.008413912,0.00204025,0.00300916,0.002121146,0.002075893,0.004043454,0.003314772,0.34216741,0.692878893,0.263578683,0.001576645,0.834299287,57.30685331,0.742857143,4,4
107,2003,0.00275165,0.368472373,0.001508335,0.001429843,0.000705043,0.000792574,0.006505625,4.646862005,0.001538375,0.54013463,0.121719634,0.000315937,0,0.001280064,0,0,0.736733459,0.764363572,0.367781157,0.40228763,0.439108735,78.04309055,0.242857143,5,6
110,1974,0.000598368,0.001109466,0.000957558,0.111742794,0.103386917,0.00132344,0,0.009313411,3.417269964,0.612314968,0.217658696,0,0.000674959,0,0.050294655,0.000812738,0.506690619,0.57355184,0.510070108,0.002150932,0.798950461,65.82914922,0.657142857,1,3
111,1982,0.0086913,0.815151034,0.009031834,0.006180718,0.007031743,0.013016914,0.091383897,0.109870799,0.106492741,0.119154844,0.012851115,0.00854654,0.007425932,0.009875634,0.007446114,0.008433105,0.122442676,0.849514795,0,0.000988098,0.168939249,96.43167634,0.542857143,4,6
114,2015,0.000978204,0.003270397,0.002136903,0.062562787,0.000583954,0.001517284,0.023059177,3.899585789,0.006561226,0.004167917,0.001123312,0.04349082,0,0.056798495,0.289005523,0.047977069,0.503837563,0.791415219,0.031352139,0.000503419,0.165737319,77.20476654,0.071428571,6,5
119,2000,0.000711047,0,0.341875292,0.089130641,0.000196229,0.066480879,0.509670583,2.164094356,0.014068121,0.870124724,5.56E-05,0.083128627,0.00023703,0.05023774,0.002205854,0.002288108,0.273729478,0.609116322,0.90693888,0,0.131227479,12.53668211,0.285714286,3,7
120,1970,0.047023724,0.002107449,0.000431659,0.001572899,0.00100968,0.036647338,1.598232223,0.031099134,0.007456053,0.031255516,0.00215722,0.002016361,0.001718451,0.049165981,0.654913482,0.000269513,0.481954136,0.695204576,0.36839796,0,0.74447956,47.46266833,0.714285714,1,5
125,1981,0.001323262,0.001129893,0.352348899,0.213163382,0.002723233,0,0.26040305,1.497786986,0.021978092,0.017020699,0.002593818,0.001345804,0.001978466,0.001359677,0.087913439,0.132381958,0.584487451,0.449361819,0.253552502,0.002196619,0.640911846,27.97086082,0.557142857,1,7
