id,release_date,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,age,genre,topic
0,2014,0.001048759,0.000254496,0.07805732,0.282522677,0,0.000654075,1.109898658,3.484934672,0.3605153,0.016644315,0,0.001343349,0.000101785,0.000814452,0.022434881,0.001021196,0.673433301,0.753102384,0.002559985,0.001046413,0.040566914,48.36426486,0.085714286,4,2
1,1962,0.059131936,,,0.001835964,0.000737025,0,0.75883969,0,0.018111679,0.658993098,0.001136627,0.000499493,0.032455522,0.002706763,0.242728079,0.001696828,0.690740043,0.678925128,0.7854803,0.001009294,0.743203075,28.2006095,0.828571429,1,7
2,1969,0.027450509,0.085989282,0.03976013,0.001287928,0.001423762,0.000857406,0.545407987,0.016913724,0.01575032,0.277631718,0.00396096,0.257626392,0.090350773,0.000284161,0.360502989,0,0.186293835,0.404628331,0.890526878,0.06088617,0.093003404,13.14563902,0.728571429,4,
3,2004,0.050992847,,0,0.000476982,0.008156525,0.002800155,0,0.003702513,2.603916908,0.005438206,0,0.001282178,0.057493216,0.001101823,0.307565421,0.067060793,0.499643288,0.685084644,0.640128678,0.163850135,0.648083832,62.6631524,0.228571429,0,5
4,1992,0.000550583,0.028702021,0,0.069747983,0.008735037,0.000624992,0.014364362,0.253022399,0.007967863,3.980987531,0.001138718,0.143952278,0.001517934,0.000174153,0.047895648,0,0.407140902,0.616982196,0.030575529,,,48.64174099,0.4,1,1
5,2009,0.003188127,0.328300038,0.258117231,0.000478898,0.000540134,7.68E-05,0,0.028871143,0.009509839,0.75818203,0.001661368,0,,0.107290489,0.085365238,,0.520693458,0.833801832,0.001012317,0.000161114,0.293852919,96.18066585,0.157142857,6,6
6,1986,0,0.517531436,0.000774016,0.001070873,0,0.001674535,0.389949174,0.001747044,0.022673647,3.517630824,0.00292881,0,0.072812639,,0.000455018,0.000970979,0.453748658,0.555739904,0.233086534,0.19961573,0.609632956,62.16633133,0.485714286,6,6
7,1972,0,0.03553025,0.001743024,0.051784169,0,,0.009584296,1.427253897,0,4.265229698,0.226508467,0,0.008452339,0.00086181,0.003463903,6.19E-05,0.793284116,0.679175986,0.127181225,0,0.66638391,56.0776356,0.685714286,1,
8,2012,0,0.12662693,0.328992195,0.198120105,0.028466789,0.000628891,0.003269363,0,0.004461746,0.333919988,0,0.123604441,0.001368675,0.000742103,0.071223683,0.050247915,,0.742758642,0.098471121,0.000981616,,45.57917801,0.114285714,1,7
9,2016,0.000879524,0.002736587,0.115965596,0.00036668,0.196194385,0.001192336,0.020357375,0.003521619,2.979977326,0.008746334,0.164278246,0.078617688,0.046844337,0.055607142,8.88E-05,0,0.372257715,0.791720182,0.236843899,0,0.138054872,53.88706099,,4,3
10,1986,0.999288839,0.999318424,0.999366325,1,0.999479694,0.999368793,10,9.994875182,9.993064626,9.982888821,1,0.999836569,1,0.999521136,0.997630844,0.99899622,0.998955392,1,1,1,1,100,0.53030896,5,2
11,2015,0.001047784,0.320486938,0.002664005,0.003519899,6.40E-05,0.001217192,0.229006239,0.037474188,0.011431212,0.015968744,0.062616196,0.298918788,0.001859116,0,0.254550438,0.000242442,0.624046507,0.806616873,0.070104448,,0.569578685,72.58103924,0.071428571,4,6
12,1991,0,0.049034275,0.000349652,0.306028255,0.001199868,0,0.332957858,1.585783761,1.285313602,0.982456135,0.002444299,0,0.018560004,0,0.001297818,0.001299153,0.802200616,0.564442264,0.959874486,0,0.648990576,20.43119139,,3,2
